Full name of agency,Agency type,ID number (if applicable),Total reported,Country,ISO Code,Year,Start Date,End Date
Birim North Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Upper Denkyira West District Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Amansie South District Assemly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Bibiani /Ahwiaso /Bekwai District Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Obuasi Municipal Assembly,Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
"Metropolitan, Municipal and District Assemblies",Local government,,,Ghana,GHA,2019,2019/01/01,2019/12/31
Vicepresidencia de la República de Guatemala,State government,994316206,-,Guatemala,GTM,2017,2017/01/01,2017/12/01
Ministerio de Energia y Minas (MEM),Central government,<Use Legal Entity Identifier if available>,228058363.73,Guatemala,GTM,2017,2017/01/01,2017/12/01
Ministerio de Finanzas Publicas (MINFIN),Central government,<Use Legal Entity Identifier if available>,40472231.93,Guatemala,GTM,2017,2017/01/01,2017/12/01
Ministerio de Ambiente y Recursos Naturales (MARN),Central government,<Use Legal Entity Identifier if available>,1256433.75,Guatemala,GTM,2017,2017/01/01,2017/12/01
Superintendencia de Administración Tributaria (SAT),Central government,<Use Legal Entity Identifier if available>,149007097.6,Guatemala,GTM,2017,2017/01/01,2017/12/01
Municipalidades,Local government,<Use Legal Entity Identifier if available>,63301988.42,Guatemala,GTM,2017,2017/01/01,2017/12/01
Bureau of Local Government and Finance (BLGF),Local government,200-065-084-000,1046379176.06,Philippines,PHL,2018,2018/01/01,2018/12/31
Bureau of Customs (BOC),Central goverment,Not available,2322669697,Philippines,PHL,2018,2018/01/01,2018/12/31
Bureau of Internal Revenue (BIR),Central goverment,000-843-630-000,26343601789.75,Philippines,PHL,2018,2018/01/01,2018/12/31
Department of Budget and Management (DBM),Central goverment,000-449-457-000,,Philippines,PHL,2018,2018/01/01,2018/12/31
Department of Energey (DOE),Central goverment,000-478-629,29578003901.61,Philippines,PHL,2018,2018/01/01,2018/12/31
Direction Générale du Trésor (DGT),Central government,NA,Voir partie 4,Republic of the Congo,COG,2017,2017/01/01,2017/12/31
Direction Générale des Impôts et des Domaines (DGID),Central government,NA,Voir partie 4,Republic of the Congo,COG,2017,2017/01/01,2017/12/31
Direction Générale des Douanes et des Droits Indirects (DGDDI),Central government,NA,Voir partie 4,Republic of the Congo,COG,2017,2017/01/01,2017/12/31
Direction des Ressources Naturelles (DRN),Central government,NA,Voir partie 4,Republic of the Congo,COG,2017,2017/01/01,2017/12/31
Direction Générale des Hydrocarbures (DGH),Central government,NA,Voir partie 4,Republic of the Congo,COG,2017,2017/01/01,2017/12/31
Direction Générale des Mines (DGM),Central government,NA,Voir partie 4,Republic of the Congo,COG,2017,2017/01/01,2017/12/31
Ministère de l'Economie Forestière et du Développement Durables (MEFDD),Central government,NA,Voir partie 4,Republic of the Congo,COG,2017,2017/01/01,2017/12/31
Société Nationale des Pétroles du Congo (SNPC),State-owned enterprises & public corporations,NA,Voir partie 4,Republic of the Congo,COG,2017,2017/01/01,2017/12/31
SOCOTRAM / Direction de la Marine Marchande / Conseil congolais des chargeurs,Other,NA,Voir partie 4,Republic of the Congo,COG,2017,2017/01/01,2017/12/31
Direction Générale des Impôts et des Domaines (DGID),Central government,Non applicable,76603522296,Senegal,SEN,2018,2018/01/01,2018/12/31
Direction Générale des Douanes (DGD),Central government,Non applicable,14680174336,Senegal,SEN,2018,2018/01/01,2018/12/31
Direction des Mines et de la Géologie (DMG),Central government,Non applicable,19953712566.72,Senegal,SEN,2018,2018/01/01,2018/12/31
Société des Pétroles du Sénégal (PETROSEN),State-owned enterprises & public corporations,0024498 2G3,2348455633,Senegal,SEN,2018,2018/01/01,2018/12/31
Direction Générale de la Comptabilité Publique et du Trésor (DGCPT),Central government,Non applicable,1669441664,Senegal,SEN,2018,2018/01/01,2018/12/31
Direction de l'Environnement et des Etablissements Classés (DEEC),Central government,Non applicable,304264550,Senegal,SEN,2018,2018/01/01,2018/12/31
"Direction des Eaux, Forêts, Chasses et Conservation des Sols (DEFCCS)",Central government,Non applicable,180397020,Senegal,SEN,2018,2018/01/01,2018/12/31
Caisse de Sécurité Sociale (CSS),Central government,Non applicable,696011898,Senegal,SEN,2018,2018/01/01,2018/12/31
Institution de prévoyance retraite du Sénégal (IPRES),Central government,Non applicable,3987987836,Senegal,SEN,2018,2018/01/01,2018/12/31
Direction Générale des Douanes (DGD),Central goverment,,13151573737,Senegal,SEN,2019,2019/01/01,2019/12/31
Société des Pétroles du Sénégal (PETROSEN),State-owned enterprises & public corporations,,1975924601,Senegal,SEN,2019,2019/01/01,2019/12/31
"Direction des Eaux, Forêts, Chasses et Conservation des Sols (DEFCCS)",Central goverment,,,Senegal,SEN,2019,2019/01/01,2019/12/31
Direction des Mines et de la Géologie (DMG),Central goverment,,,Senegal,SEN,2019,2019/01/01,2019/12/31
Direction Générale de la Comptabilité Publique et du Trésor (DGCPT),Central goverment,,8748380996,Senegal,SEN,2019,2019/01/01,2019/12/31
Autres bénéficiaires (paiements environnementaux),Autres,,21422418,Senegal,SEN,2019,2019/01/01,2019/12/31
Direction Générale des Impôts et des Domaines (DGID),Central goverment,,104584329594,Senegal,SEN,2019,2019/01/01,2019/12/31
Caisse de Sécurité Sociale (CSS),Central goverment,,733101792,Senegal,SEN,2019,2019/01/01,2019/12/31
Institution de Prévoyance Retraite du Sénégal (IPRES),State government,,3656358597,Senegal,SEN,2019,2019/01/01,2019/12/31
Autres bénéficiaires (paiements sociaux),Autres,,3512368896.22,Senegal,SEN,2019,2019/01/01,2019/12/31
Autres,Autres,,,Senegal,SEN,2019,2019/01/01,2019/12/31
Direction de l'Environnement et des Etablissements Classés (DEEC),Central goverment,,151299475,Senegal,SEN,2019,2019/01/01,2019/12/31
"Ministry of Finance, Trade and the Blue Economy (MFTBE)",Central goverment,,,Seychelles,SYC,2017,2017/01/01,2017/12/31
Seychelles Revenue Commission (SRC),Central goverment,,,Seychelles,SYC,2017,2017/01/01,2017/12/31
Petroseychelles,State-owned enterprises & public corporations,,45346.52,Seychelles,SYC,2017,2017/01/01,2017/12/31
"Ministry of Finance, Trade and the Blue Economy (MFTBE)",Central goverment,,,Seychelles,SYC,2018,2018/01/01,2018/12/31
Seychelles Revenue Commission (SRC),Central goverment,,,Seychelles,SYC,2018,2018/01/01,2018/12/31
Petroseychelles,State-owned enterprises & public corporations,,32688,Seychelles,SYC,2018,2018/01/01,2018/12/31
Fondo Mexicano del Petróleo,Central goverment,,439057497616.15,Mexico,MEX,2017,1/1/2017,12/31/2017
Non-disaggregated revenue flows,Central goverment,,,Mexico,MEX,2017,1/1/2017,12/31/2017
