Full company name,Payments to Governments Report,Country,Year
DANTATA & SAWOE CONSTRUCTION COMPANY (NIGERIA) LTD,268893.746,Nigeria,2017
E. B. H. GRANITE LIMITED,21461.883,Nigeria,2017
INORGANIC EARTH RESOURCES LIMITED,29644.918,Nigeria,2017
LAKE PETROLEUM LIMITED,19122.338,Nigeria,2017
MERCURY MINING INVESTMENT LTD,42210.771,Nigeria,2017
MOTHERCAT LIMITED,429304.146,Nigeria,2017
NIGERIAN NATIONAL PETROLEUM CORPORATION (NNPC),10188981458.27,Nigeria,2017
OANDO QUA-IBO LIMITED,0.0,Nigeria,2017
OFL MARBLE & GRANITE LIMITED,27331.260000000002,Nigeria,2017
PIONEER SINOCHINO INVESTMENT VENTURES LIMITED,19194.898,Nigeria,2017
RATCON CONSTRUCTION COMPANY LTD,13867126.73,Nigeria,2017
SETRACO NIGERIA LIMITED,1270056.187,Nigeria,2017
TRIACTA NIGERIA LTD,296184.415,Nigeria,2017
VENUS MINING COMPANY LIMITED,33295.710999999996,Nigeria,2017
WODA MOUNTAIN INVESTMENT LTD,76919.163,Nigeria,2017
Z&Y INVESTMENT COMPANY LIMITED,36705.437,Nigeria,2017
ZHONG XING MINING INVESTMENT LIMITED,38591.26,Nigeria,2017
ADDAX PETROLEUM EXPLORATION NIGERIA LIMITED (APENL),51094917.98,Nigeria,2018
AITEO EASTERN EXPLORATION & PRODUCTION COMPANY LIMITED,110115387.67999999,Nigeria,2018
BRITTANIA-U NIGERIA LIMITED,1600037.29,Nigeria,2018
CCECC NIGERIA LIMITED,8251321.34,Nigeria,2018
CHEVRON NIGERIA LIMITED (CNL),929386281.23,Nigeria,2018
CONOIL PRODUCING LIMITED,10187767.0,Nigeria,2018
CONROK NIGERIA LIMITED,21473.35,Nigeria,2018
DANGOTE CEMENT NIGERIA LIMITED,102833316.58999999,Nigeria,2018
EXCEL EXPLORATION & PRODUCTION COMPANY LIMITED,614343.14,Nigeria,2018
FIRST HYDROCARBON NIGERIA (FHN),292827.94,Nigeria,2018
GREEN ENERGY INTERNATIONAL LIMITED (GEIL),3222933.19,Nigeria,2018
LEVANT CONSTRUCTION COMPANY LTD.,491092.38,Nigeria,2018
MOBIL PRODUCING NIGERIA UNLIMITED (MPNU),2370948463.88,Nigeria,2018
NIGER DELTA PETROLEUM RESOURCES LIMITED (NDPR),70165314.95,Nigeria,2018
NIGERIA AGIP OIL COMPANY LIMITED (NAOC),500256611.19,Nigeria,2018
NIGERIA PETROLEUM DEVELOPMENT COMPANY LIMITED (NPDC),1153671825.55,Nigeria,2018
REYNOLDS CONSTRUCTION COMPANY LTD,11285278.87,Nigeria,2018
SINO MINMETALS COMPANY LIMITED,56217.34,Nigeria,2018
SOUTH ATLANTIC PETROLEUM LIMITED (SAPETRO),34919805.879999995,Nigeria,2018
STERLING OIL EXPLORATION & ENERGY PRODUCTION COMPANY LIMITED (SEEPCO),197880901.14,Nigeria,2018
TONGYI ALLIED MINERAL LTD,11218.33,Nigeria,2018
TOTAL EXPLORATION & PRODUCTION NIGERIA LIMITED (TEPNG),1366227452.3300002,Nigeria,2018
TOTAL UPSTREAM NIGERIA LIMITED (TUPNI),293588302.28000003,Nigeria,2018
UNIVERSAL ENERGY RESOURCES LIMITED (UERL),2592412.4099999997,Nigeria,2018
WALTERSMITH PETROMAN OIL LIMITED,8981888.39,Nigeria,2018
WEST AFRICAN MINERAL TRADING,28420.13,Nigeria,2018
Z&Y INVESTMENT COMPANY LIMITED,47719.64,Nigeria,2018
ZHONG TAI MINING (NIG.) LIMITED,31870.27,Nigeria,2018
