Full project name,"Legal agreement reference number(s): contract, licence, lease, concession, …","Affiliated companies, start with Operator",Commodities (one commodity/row),Status,Production (volume),Unit,Production (value),Currency,Country,ISO Code,Year,Start Date,End Date
Hydrocarbon Pipeline - Solepit,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Jacky B Project,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Jetty minerals commercial / Llysfaen,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Laggan Tormore Export Pipe,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Laggan Tormore Import Pipes,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
ML18,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
ML21,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
ML3,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
ML4,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
ML5,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
ML6,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
ML7,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Magnus,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Miller,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Murchison,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Natural Gas Pipeline - PL21,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Newport Wharf / Rvr Usk nr Caldicot Level,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Ninian,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Ninian Field to Grutwick,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
North Cormorant,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Oil Pipeline - Amoco Pipeline (Bacton),Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Oil Pipeline - Bacton Lancelot,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Oil Pipeline - Bacton Shell -,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Oil Pipeline - Easington Amethyst,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Oil Pipeline - Pickerill,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Oil Pipeline - Seal Pipeline,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Orka Voe - East of Shetland,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
Orka Voe - West of Shetland,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P101,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1015,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1026,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1028,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P103,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1034,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P104,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1041,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1042,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1051,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1055,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1060,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1061,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1062,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1064,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1070,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1077,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P11,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P110,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1107,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P111,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1114,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1117,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P112,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P114,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1159,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P116,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P117,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P118,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1186,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1189,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P119,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1191,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1195,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P12,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1200,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1230,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1241,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1242,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1246,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1270,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1272,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1293,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1298,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P13,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P130,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P132,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1328,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P133,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1330,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1354,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1368,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P138,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1383,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P139,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1392,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P142,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1430,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1453,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1464,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1483,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P153,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1570,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1588,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1589,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P16,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1615,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1617,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1622,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1630,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P164,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P165,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1664,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1665,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1678,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P168,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P169,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P170,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1720,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1724,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1727,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1731,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1758,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1763,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1764,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1765,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1777,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1807,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1820,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1823,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1825,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1830,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P185,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P188,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1891,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P19,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1909,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P193,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1937,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1964,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1965,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1970,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1985,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P1986,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P199,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P20,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P201,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P202,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
P203,Not available,Not available,Not available,Not applicable,,,,,United Kingdom,GBR,2020,2020-01-01,2020-12-31
