Full name of agency,Total reported,Country,Year
GOVERNMENT AGENCIES (LEVEL OF LOCAL GOVERNMENT),31646728.61,Germany,2019
"MINING AUTHORITIES (LEVEL OF STATE GOVERNEMENT (""LÄNDER""))",218001921.92,Germany,2019
MUNICIPALITIES (LEVEL OF LOCAL GOVERNMENT),129179902.07000001,Germany,2019
"TAX OFFICES (LEVEL OF STATE GOVERNMENT (""LÄNDER""))",120718118.23,Germany,2019
GOVERNMENT AGENCIES (LEVEL OF LOCAL GOVERNMENT),23230056.76,Germany,2020
"MINING AUTHORITIES (LEVEL OF STATE GOVERNMENT (""LÄNDER""))",99297607.94,Germany,2020
MUNICIPALITIES (LEVEL OF LOCAL GOVERNMENT),45354798.17,Germany,2020
"TAX OFFICES (LEVEL OF STATE GOVERNMENT (""LÄNDER""))",28754271.26,Germany,2020
AMANSIE SOUTH DISTRICT ASSEMLY,241900.0,Ghana,2017
ASUTIFI DISTRICT ASSEMBLY,0.0,Ghana,2017
BIBIANI /AHWIASO /BEKWAI DISTRICT ASSEMBLY,0.0,Ghana,2017
BIRIM NORTH ASSEMBLY,434500.0,Ghana,2017
DENKYIRA DISTRICT ASSEMBLY,0.0,Ghana,2017
ELLEMBELLE,50000.0,Ghana,2017
ENVIRONMENTAL PROTECTION AGENCY,7844298.65,Ghana,2017
GHANA NATIONAL PETROLEUM COMPANY,20601362.27,Ghana,2017
GHANA RAILWAY AUTHORITY,15663916.0,Ghana,2017
GHANA REVENUE AUTHORITY,3716068741.63,Ghana,2017
"METROPOLITAN, MUNICIPAL AND DISTRICT ASSEMBLIES",0.0,Ghana,2017
MINERALS COMMISSION,46704251.45,Ghana,2017
MINISTRY OF ENERGY,0.0,Ghana,2017
MINISTRY OF FINANCE,29593891.06,Ghana,2017
MINISTRY OF LANDS AND NATURAL RESOURCES,0.0,Ghana,2017
MPOHOR WASSA EAST,44206.0,Ghana,2017
OFFICE OF THE ADMINISTRATOR OF STOOL LANDS,13318084.0,Ghana,2017
PETROLEUM COMMISSION,23053295.89,Ghana,2017
PRESTEA HUNI VALLEY,126556.0,Ghana,2017
SEFWI DISTRICT ASSEMBLY,130563.0,Ghana,2017
TARKWA NSUAEM,470801.0,Ghana,2017
YILO KROBO DISTRICT ASSEMBLY,0.0,Ghana,2017
AMANSIE SOUTH DISTRICT ASSEMLY,241900.0,Ghana,2018
ASUTIFI DISTRICT ASSEMBLY,0.0,Ghana,2018
BIBIANI /AHWIASO /BEKWAI DISTRICT ASSEMBLY,0.0,Ghana,2018
BIRIM NORTH ASSEMBLY,434500.0,Ghana,2018
DENKYIRA DISTRICT ASSEMBLY,0.0,Ghana,2018
ELLEMBELLE,50000.0,Ghana,2018
ENVIRONMENTAL PROTECTION AGENCY,15778843.059999999,Ghana,2018
GHANA NATIONAL PETROLEUM COMPANY,23128519.17,Ghana,2018
GHANA RAILWAY AUTHORITY,17864451.13,Ghana,2018
GHANA REVENUE AUTHORITY,5986043296.9,Ghana,2018
"METROPOLITAN, MUNICIPAL AND DISTRICT ASSEMBLIES",0.0,Ghana,2018
MINERALS COMMISSION,48065684.81,Ghana,2018
MINISTRY OF ENERGY,0.0,Ghana,2018
MINISTRY OF FINANCE,112070960.0,Ghana,2018
MINISTRY OF LANDS AND NATURAL RESOURCES,0.0,Ghana,2018
MPOHOR WASSA EAST,44206.0,Ghana,2018
OFFICE OF THE ADMINISTRATOR OF STOOL LANDS,7809541.0,Ghana,2018
PETROLEUM COMMISSION,22375915.060000002,Ghana,2018
PRESTEA HUNI VALLEY,126556.0,Ghana,2018
SEFWI DISTRICT ASSEMBLY,130563.0,Ghana,2018
TARKWA NSUAEM,470801.82,Ghana,2018
YILO KROBO DISTRICT ASSEMBLY,0.0,Ghana,2018
AMANSIE CENTRAL DISTRICT ASSEMBLY,0.0,Ghana,2019
AMANSIE SOUTH DISTRICT ASSEMBLY,0.0,Ghana,2019
AMANSIE SOUTH DISTRICT ASSEMLY,87352.0,Ghana,2019
AMANSIE WEST DISTRICT ASSEMBLY,0.0,Ghana,2019
ASUTIFI DISTRICT ASSEMBLY,70461.0,Ghana,2019
ASUTIFI NORTH DISTRICT ASSEMBLY,0.0,Ghana,2019
BIBIANI /AHWIASO /BEKWAI DISTRICT ASSEMBLY,42083.0,Ghana,2019
BIBIANI/AHWIASO DISTRICT ASSEMBLY,0.0,Ghana,2019
