Full company name,Payments to Governments Report,Country,Year
شرکت امانیه مایننگ AMANYA MINING CO,106574.0,Afghanistan,2018
شرکت امید سباون,212285.0,Afghanistan,2018
شرکت برادران خالد عزیز,5389321.0,Afghanistan,2018
شرکت برادران عادل,4831818.0,Afghanistan,2018
شرکت برادران مهمند شمال,4010260.0,Afghanistan,2018
شرکت تجارتی آریا پوپل لمتید,374288.0,Afghanistan,2018
شرکت تصفیه مواد نفتی اعتماد نفت لمتید ITEMAD NAFT LTD,100.0,Afghanistan,2018
شرکت تصفیه نفت سلیم کاروان SALEEM KARWAN MINING CO,0.0,Afghanistan,2018
شرکت تصفیه نفت میوند سروری MAIWAND SARWARI MINING CO,9213.0,Afghanistan,2018
شرکت تولید سنگ تزیناتی وتعمیراتی هلال,280730.0,Afghanistan,2018
شرکت تولید مواد معدنی کابل کلسید KABUL CLASSID MINING PRODUCTION COMPANY,1000.0,Afghanistan,2018
شرکت تکنالوجست,3485715.0,Afghanistan,2018
شرکت خدمات استخراج معدن سنتارامریکن ال ال سی CENTER AMERICAN LLC,70605.0,Afghanistan,2018
شرکت خدمات انجنیری جیو و معادن افغانایت AFGHAN KNIGHT GEO MINING CO,4586052.0,Afghanistan,2018
شرکت خدمات لوژستیکی ابراهیم متونوال IBRAHIM MATONWAL LOGISTIC CO,165600.0,Afghanistan,2018
شرکت خدمات منابع طبیعی معادن اریا فیضی لمتید ARYA FAIZI MINING LTD,20070.0,Afghanistan,2018
شرکت ذوب آهن کتلیست KATALEST IRON MINING CO,13300.0,Afghanistan,2018
شرکت ریگریشن کابل گلدره,222308.0,Afghanistan,2018
شرکت ساختمانی حاجی ملا شاه میرزی,240521.0,Afghanistan,2018
شرکت ساختمانی غلام حضرت ارغندیوال,99300.0,Afghanistan,2018
شرکت ساختمانی فاروق استانکزی,143439.0,Afghanistan,2018
شرکت سرمایه گذاری معادن MINING INVESTMENT CO,481908.0,Afghanistan,2018
شرکت سنگبری حدیث لمتید HADETH STONE LTD,195.0,Afghanistan,2018
شرکت سنگبری پسران دقیق لمتید PESARAN DAQIQ STONE PRO.LTD,500.0,Afghanistan,2018
شرکت سپتی اوغلوایس مات دستی,113552.0,Afghanistan,2018
شرکت صنعتی استخراج سنگ معدن کوه نور هرات لمتید KOH-E-NOOR HEERAT STONE MINING LTD,435.0,Afghanistan,2018
شرکت صنعتی استخراج معادن ماگما لمتید MAGMA MINING LTD,200.0,Afghanistan,2018
شرکت صنعتی جهان سنگ ساحل لمتید JAHAN SANG SAHEL LTD,192332.0,Afghanistan,2018
شرکت صنعتی و سنگبری بهار مرمر لمتید BAHAR MARMAR LTD,92629.0,Afghanistan,2018
شرکت صنعتی پروسس سنگ بلورین لمتید BLAWREEN STONE PRO.LTD,48295.0,Afghanistan,2018
شرکت صنعتی کرومایت برادران BROTHERS CROMITE MINING CO,43300.0,Afghanistan,2018
شرکت مسعودعارف فقیرزاده,323200.0,Afghanistan,2018
شرکت معدن کاری غلام رسول پامیر PAMIR RASOOL MINING CO,87778.0,Afghanistan,2018
شرکت معدن کاری کولاک KOLAK MINING CO,62335.0,Afghanistan,2018
شرکت پروسس سنگ تالک پامیر خراسان PAMIR KHORASAN MINING CO,1636.0,Afghanistan,2018
شرکت پروسس سنگ لوگروال لمتید LOGARWAL STONE PRO.CO,2395.0,Afghanistan,2018
عرفان سبحان تالک دمعدن استخراج اوپروسس شرکت URFAN SUBHAN TALK PRO.CO,3300.0,Afghanistan,2018
"عمرگل فرزند جمعه خان, عمرگل فرزند جمعه خان",21222.0,Afghanistan,2018
"فقیر حسین, محمد حسین",143581.0,Afghanistan,2018
"محمد هاشم فرزند عبدالله, محمد هاشم",62051.0,Afghanistan,2018
"محمد یونس ولد محمد عیسی, محمد یونس",32060.0,Afghanistan,2018
"محمدی فرزند مسجدی, محمد دل",61899.0,Afghanistan,2018
محمود غالب شیرزاد تالک او معادن دپروسس استخراج شرکت MAHMOOD GHALEB SHERZAD TALC PRO.CO,223190.0,Afghanistan,2018
نارټ ویسټ منرلز NORTH WEST MINERALS,45685.0,Afghanistan,2018
نبی افغان دمعدن استخراج او پروسس شر کت NABI AFGHAN MINING CO,170.0,Afghanistan,2018
"نجیب الله فرزند عین الله, نجیب الله فرزند عین الله",61921.0,Afghanistan,2018
