Index,Company
468_part3,EXXONMOBIL
469_part3,VITOL CDI LIMITED
470_part3,CNR INTERNATIONAL
471_part3,TOTAL E&P
472_part3,SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI)
473_part3,ANADARKO
474_part3,SAUR ENERGIE CI (SECI)
475_part3,ENI IVORY COAST LIMITED
476_part3,OPHIR COTE D'IVOIRE
477_part3,AFRICAN PETROLEUM CI
478_part3,TULLOW COTE D'IVOIRE EXPLORATION LIMITED
479_part3,COMPAGNIE IVOIRIENNE DU PÉTROLE ET DES MINES (CIPEM)
480_part3,ENERGIE DE COTE D'IVOIRE
481_part3,SVENSKA PETROL AKTIEBOLAG
482_part3,SOCIETE DES MINES D'ITY (SMI)
483_part3,SOCIÉTÉ DES MINES DE TONGON
484_part3,AGBAOU GOLD OPERATIONS
485_part3,LGL MINES CI SA
486_part3,COMPAGNIE MINIERE DU LITTORAL (CML)
487_part3,PERSEUS MINING CÔTE D'IVOIRE
488_part3,SADEM (SOLIBRA)
489_part3,AMARA MINING CI
490_part3,LGL RESOURCE CI
491_part3,RANDGOLD (TONGON SA)
492_part3,SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA CÔTE D'IVOIRE (SODEMI)
493_part3,BONDOUKOU MANGANESE SA (INDE)
494_part3,SOCIETE IVOIRO-SUISSE ABIDJANAISE DE GRANIT (SISAG)
495_part3,CADERAC. SA
496_part3,COLAS-CI
497_part3,NEWCREST HIRE
498_part3,HALLA CORPORATION
499_part3,LA MAN/AHA CI (FRAN/AE)
500_part3,SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI)
501_part3,TOTAL E&P
502_part3,FOXTROT INTERNATIONAL
503_part3,CNR INTERNATIONAL
504_part3,SOCIÉTÉ NATIONALE D'OPÉRATIONS PÉTROLIÈRES DE CÔTE D'IVOIRE (PETROCI)(PRIVATE)
505_part3,VITOL CDI LIMITED
506_part3,TULLOW CI
507_part3,TULLOW COTE D'IVOIRE EXPLORATION LIMITED
508_part3,ENI IVORY COAST LIMITED
509_part3,KOSMOS
510_part3,DRAGON OIL AND GAS S.A
511_part3,SOCIÉTÉ POUR LE DÉVELOPPEMENT MINIER DE LA CÔTE D'IVOIRE (SODEMI)
512_part3,SOCIÉTÉ DES MINES DE TONGON
513_part3,AGBAOU GOLD OPERATIONS
514_part3,SOCIETE DES MINES D'ITY (SMI)
515_part3,BONIKRO GOLD MINE (EX LGL MINES CI SA)
516_part3,HIRE GOLD MINE (EX NEWCREST HIRE)
517_part3,PERSEUS MINING CÔTE D'IVOIRE
518_part3,LA MANCHA COTE D'IVOIRE
519_part3,SISAG-STE IVOIRO-SUISSE
520_part3,COMPAGNIE MINIERE DU LITTORAL (CML)
521_part3,CADERAC. SA
522_part3,LGL RESOURCES COTE D'IVOIRE
523_part3,BONDOUKOU MANGANESE SA (INDE)
524_part3,AMPELLA MINING COTE D'IVOIRE
525_part3,PERSEUS YAOURE SARL (EX AMARA MINING)
526_part3,COMPAGNIE MINIERE DU BAFING
527_part3,SHILOH MANGANESE
528_part3,ETRUSCAN RES. COTE D'IVOIRE
529_part3,ALPHAMINBISIE MINING SA
530_part3,AMUR MUGOTE & FRERES
531_part3,BAI JIE
532_part3,BANRO CONGO MINING
533_part3,SOCIETE MINIERE DE BISUNZU
534_part3,BOLFAST
535_part3,BOSS MINING SARL
536_part3,CONGO DONGFANG INTERNATIONAL MINING SARL (CDM)
537_part3,CGM LISHI MINING SPRL
538_part3,CHEMICAL OF AFRICA SARL (CHEMAF)
539_part3,CONGO INTERNATIONAL MINING CORPORATION SAS (CIMCO)
540_part3,COMPAGNIE MINERE DE TONDO (CMT)
541_part3,CNMC CONGO COMPAGNIE MINIERE SARL (CNMC SARL)
542_part3,CNMC HUACHIN MABENDE MINING
543_part3,CONGO COBALT CORPORATION SARL (CCC)
544_part3,COMFORCE
545_part3,LA CONGOLAISE DES MINES ET DE DEVELOPPEMENT SARL (COMIDE)
546_part3,COMPAGNIE MINIERE DE KAMBOVE SAS (COMIKA)
547_part3,COMPAGNIE MINIERE DE LUISHA SAS (COMILU)
548_part3,COMPAGNIE MINIERE DE MUSONOIE GLOBAL (COMMUS)
549_part3,CONGO JINJUNCHENG MINING COMPANY (CJMC)
550_part3,COPROCO GROUP SARL
551_part3,CROWN MINING
552_part3,DATHCOM (DATHOMIR)
553_part3,DIVINE LAND MINING SARL
554_part3,DRAGON INTERNATIONAL MINING SARL
555_part3,ENERGULF
556_part3,EPPM
557_part3,FRONTIER SA
558_part3,GOLDEN AFRICAN RESOURCES SARL (GAR)
559_part3,LA GENERALE DES CARRIERES ET DES MINES (GECAMINES)
560_part3,GIRO GOLDFIELDS
561_part3,GOMA MINING
562_part3,GROUPEMENT POUR LE TRAITEMENT DU TERRIL DE LUBUMBASHI (GTL)
563_part3,HUACHIN METAL LEACH SA (HML)
564_part3,HONG KONG EXCELLENT
565_part3,HUA YING TRADING COMPAGNY
566_part3,HUAYOU
567_part3,IVERLAND MINING CONGO SARL (IMC SARL)
568_part3,KAI PENG MINING
569_part3,KAMBOVE MINING SAS
570_part3,SOCIETE KAMITUGA MINING SARL
571_part3,KAMOA COPPER SA (EX. BARBADOS)
572_part3,KATANGA METALS
573_part3,KAMOTO COOPER COMPANY SA (KCC)
574_part3,KIBALI GOLDMINES SA
575_part3,KINSENDA COPPER COMPANY SARL (KICC)
576_part3,KIPUSHI CORPORATION SA (KICO)
577_part3,KISANFU MINING SPRL (KIMIN)
578_part3,LA CONGOLAISE D’EXPLOITATION MINIERE (COMINIERE)
579_part3,LA MINIERE DE KALUNKUNDI (LAMIKAL)
580_part3,LIREX SARL
581_part3,LUALABA MINING RESOURCES SAS
582_part3,LUGUSHWA MINING SARL
583_part3,LUISHA MINING ENTREPRISE
584_part3,MANONO MINERALS SARL
585_part3,MINES D’OR DE KISENGE SPRL (CLUFF MINING/MDDK)
586_part3,METAL AND CHEMICAL (METACHEM)
