Company,Government entity,Revenue stream name,Levied on project (Y/N),Reported by project (Y/N),Project name,Reporting currency,Revenue value,Payment made in-kind (Y/N),In-kind volume (if applicable),Unit (if applicable),Comments,Country,ISO Code,Year,Start Date,End Date
CGX Resources Inc.,Guyana Geology and Mines Commission (GGMC),Annual Licence Rental Charge,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
CGX Resources Inc.,Guyana Geology and Mines Commission (GGMC),Annual Training Fees,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
CGX Resources Inc.,Guyana Revenue Authority (GRA),Customs duty,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
CNOOC Nexen,Guyana Geology and Mines Commission (GGMC),Application fees (Licence),No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Correia Mining Co.,Environmental Protection Agency (EPA),Licence Fees,Yes,Yes,Correia Mining Co.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Correia Mining Co.,Guyana Geology and Mines Commission (GGMC),Licence fees,Yes,Yes,Correia Mining Co.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Correia Mining Co.,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,Correia Mining Co.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Correia Mining Co.,Guyana Gold Board (GGB),Admin fees,Yes,Yes,Correia Mining Co.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Correia Mining Co.,Guyana Gold Board (GGB),"Other material payment flows > GYD 1,000,000 (GGB)",Yes,Yes,Correia Mining Co.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Correia Mining Co.,Guyana Gold Board (GGB),Royalties-,Yes,Yes,Correia Mining Co.,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Dinar Trading,Guyana Gold Board (GGB),"Other material payment flows > GYD 1,000,000 (GGB)",No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Dinar Trading,Guyana Gold Board (GGB),Royalties-,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Disarz Jeanne Gesel,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",Yes,Yes,Disarz Jeanne Gesel,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Disarz Jeanne Gesel,Guyana Gold Board (GGB),Admin fees,Yes,Yes,Disarz Jeanne Gesel,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Disarz Jeanne Gesel,Guyana Gold Board (GGB),Royalties-,Yes,Yes,Disarz Jeanne Gesel,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Eco (Atlantic) Guyana Inc,Guyana Geology and Mines Commission (GGMC),Annual Training Fees,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
Eco (Atlantic) Guyana Inc,Guyana Geology and Mines Commission (GGMC),"Other material payment flows > GYD 1,000,000 (GGMC)",No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
El Dorado Trading,Guyana Gold Board (GGB),Royalties-,No,No,,GYD,,No,0,,,Guyana,GUY,2018,1/1/2018,12/31/2018
